cell,month,y,roll3_mean,trend_1,prior_hotspot_freq,neigh_lag1_sum,osm_retail_density,osm_food_drink_density,osm_licensed_count,osm_transport_nodes,osm_road_density_m,centroid_lon,centroid_lat
4,2025-05,0,0.0,0,0.0,20,64.0,16.0,0,0,1693.9325757767406,-0.098232,51.508911
5,2025-05,0,0.0,0,0.0,34,0.0,64.0,0,1,2117.5008513630705,-0.094619,51.508911
6,2025-05,0,11.333,-8,0.25,32,0.0,0.0,2,0,1274.0807724673782,-0.091006,51.508911
7,2025-05,0,0.0,0,0.0,77,48.0,64.0,1,3,4077.1109004234677,-0.087394,51.508911
8,2025-05,0,9.667,-1,0.0,76,0.0,16.0,1,0,3515.835855448563,-0.083781,51.508911
9,2025-05,1,11.667,9,0.5,79,64.0,240.0,4,2,4529.994665175652,-0.080168,51.508911
10,2025-05,0,0.667,0,0.0,56,64.0,16.0,0,5,4919.100496102833,-0.076555,51.508911
11,2025-05,0,0.0,0,0.0,25,0.0,80.0,1,1,4698.820840322538,-0.072942,51.508911
12,2025-05,0,0.0,0,0.0,15,16.0,32.0,0,3,3394.742433326478,-0.112683,51.511159
13,2025-05,0,4.333,2,0.0,24,0.0,16.0,0,2,2656.724682326329,-0.10907,51.511159
14,2025-05,0,6.333,3,0.0,52,0.0,32.0,0,3,5268.512014959823,-0.105458,51.511159
15,2025-05,0,7.333,0,0.0,45,32.0,48.0,0,4,5270.596898603702,-0.101845,51.511159
16,2025-05,0,2.0,0,0.0,81,16.0,64.0,0,2,4825.660292603709,-0.098232,51.511159
17,2025-05,0,6.333,-1,0.0,91,16.0,96.0,1,3,5834.778735026155,-0.094619,51.511159
18,2025-05,0,13.667,5,0.25,100,48.0,176.0,4,5,5731.312320147181,-0.091006,51.511159
19,2025-05,0,14.0,-6,0.25,126,80.0,224.0,7,12,6752.066155706512,-0.087394,51.511159
20,2025-05,1,42.0,-16,1.0,83,432.0,656.0,9,7,4463.054978279923,-0.083781,51.511159
21,2025-05,0,12.0,5,0.0,132,176.0,304.0,6,0,4254.493905766637,-0.080168,51.511159
22,2025-05,1,23.0,-9,1.0,79,80.0,288.0,8,5,5202.287362615168,-0.076555,51.511159
23,2025-05,0,5.333,-2,0.0,57,16.0,32.0,1,2,4666.905253155827,-0.072942,51.511159
24,2025-05,0,0.333,0,0.0,19,48.0,80.0,2,1,3829.987626692085,-0.112683,51.513408
25,2025-05,0,10.0,2,0.0,25,96.0,192.0,1,3,4689.39736924572,-0.10907,51.513408
26,2025-05,0,9.333,-6,0.0,70,128.0,112.0,6,4,5487.727279547419,-0.105458,51.513408
27,2025-05,1,25.667,-2,1.0,59,112.0,96.0,0,5,5233.185372707451,-0.101845,51.513408
28,2025-05,0,5.0,0,0.0,110,64.0,96.0,2,4,4639.396334071074,-0.098232,51.513408
29,2025-05,1,36.0,1,1.0,85,144.0,336.0,4,6,5102.7979261949895,-0.094619,51.513408
30,2025-05,1,21.667,0,0.75,102,80.0,112.0,1,12,5738.006812981806,-0.091006,51.513408
31,2025-05,0,14.667,-2,0.5,139,512.0,208.0,9,13,6123.273570437473,-0.087394,51.513408
32,2025-05,1,15.667,3,0.25,114,416.0,384.0,7,7,3891.0455139649252,-0.083781,51.513408
33,2025-05,0,2.333,0,0.0,148,16.0,64.0,9,2,4248.145542979366,-0.080168,51.513408
34,2025-05,1,22.333,10,0.75,61,144.0,256.0,6,7,5178.538239643103,-0.076555,51.513408
35,2025-05,0,8.333,1,0.0,58,16.0,112.0,2,1,3626.7383133548465,-0.072942,51.513408
36,2025-05,0,1.667,-2,0.0,19,48.0,112.0,5,0,4703.2065780459125,-0.112683,51.515656
37,2025-05,0,4.667,0,0.0,34,64.0,256.0,2,0,4705.21995689305,-0.10907,51.515656
38,2025-05,0,0.0,0,0.0,87,16.0,112.0,2,2,3771.463215003219,-0.105458,51.515656
39,2025-05,0,7.333,2,0.0,92,32.0,64.0,0,5,4273.907879513262,-0.101845,51.515656
40,2025-05,0,25.0,-8,1.0,107,128.0,176.0,2,10,4678.219288780764,-0.098232,51.515656
41,2025-05,0,5.0,-1,0.0,120,16.0,96.0,3,0,5475.527626092632,-0.094619,51.515656
42,2025-05,0,4.0,2,0.0,137,16.0,128.0,2,1,4513.7437553354,-0.091006,51.515656
43,2025-05,0,7.667,5,0.0,129,48.0,192.0,3,1,2912.949272204903,-0.087394,51.515656
44,2025-05,0,18.0,4,0.75,158,144.0,192.0,7,7,3750.133321194052,-0.083781,51.515656
45,2025-05,0,9.667,-1,0.0,157,48.0,320.0,5,3,5083.697337610419,-0.080168,51.515656
46,2025-05,0,6.667,-2,0.0,133,144.0,304.0,6,1,4691.752992501009,-0.076555,51.515656
47,2025-05,0,0.0,0,0.0,48,80.0,128.0,0,4,3758.837858525135,-0.072942,51.515656
